#SampleID,R1.P,R10.P,R11.P,R12.P,R13.P,R14.P,R15.P,R16.P,R17.P,R18.P,R19.P,R2.P,R20.P,R21.P,R22.P,R23.P,R24.P,R25.P,R26.P,R27.P,R28.P,R29.P,R3.P,R4.P,R5.P,R6.P,R7.P,R8.P,R9.P,-99
Rabbit_ID,A.12,A.13,A.14,A.15,A.16,B.12,B.13,B.14,B.15,C.12,C.13,C.14,C.15,C.16,D.12,D.13,D.14,D.15,D.16,E.12,E.13,E.14,E.15,E.16,F.12,F.13,F.14,F.15,F.16,-99
hay,Free Choice Timothy Hay,Free Choice Timothy Hay,Free Choice Timothy Hay,Free Choice Timothy Hay,Free Choice Timothy Hay,Free Choice Timothy Hay,Free Choice Timothy Hay,Free Choice Timothy Hay,Free Choice Timothy Hay,Free Choice Timothy Hay,Free Choice Timothy Hay,Free Choice Timothy Hay,Free Choice Timothy Hay,Free Choice Timothy Hay,No Hay,No Hay,No Hay,No Hay,No Hay,No Hay,No Hay,No Hay,No Hay,No Hay,No Hay,No Hay,No Hay,No Hay,No Hay,-99
pellet,No Pellets,No Pellets,No Pellets,No Pellets,No Pellets,Test Pellet Diet E,Test Pellet Diet E,Test Pellet Diet E,Test Pellet Diet E,Test Pellet Diet P,Test Pellet Diet P,Test Pellet Diet P,Test Pellet Diet P,Test Pellet Diet P,Test Pellet Diet E,Test Pellet Diet E,Test Pellet Diet E,Test Pellet Diet E,Test Pellet Diet E,Test Pellet Diet P,Test Pellet Diet P,Test Pellet Diet P,Test Pellet Diet P,Test Pellet Diet P,Test Pellet Diet M,Test Pellet Diet M,Test Pellet Diet M,Test Pellet Diet M,Test Pellet Diet M,-99
diet,"__Free Choice Timothy Hay, No Pellets__","__Free Choice Timothy Hay, No Pellets__","__Free Choice Timothy Hay, No Pellets__","__Free Choice Timothy Hay, No Pellets__","__Free Choice Timothy Hay, No Pellets__","__Free Choice Timothy Hay, Test Pellet Diet E__","__Free Choice Timothy Hay, Test Pellet Diet E__","__Free Choice Timothy Hay, Test Pellet Diet E__","__Free Choice Timothy Hay, Test Pellet Diet E__","__Free Choice Timothy Hay, Test Pellet Diet P__","__Free Choice Timothy Hay, Test Pellet Diet P__","__Free Choice Timothy Hay, Test Pellet Diet P__","__Free Choice Timothy Hay, Test Pellet Diet P__","__Free Choice Timothy Hay, Test Pellet Diet P__","__No Hay, Test Pellet Diet E__","__No Hay, Test Pellet Diet E__","__No Hay, Test Pellet Diet E__","__No Hay, Test Pellet Diet E__","__No Hay, Test Pellet Diet E__","__No Hay, Test Pellet Diet P__","__No Hay, Test Pellet Diet P__","__No Hay, Test Pellet Diet P__","__No Hay, Test Pellet Diet P__","__No Hay, Test Pellet Diet P__","__No Hay, Test Pellet Diet M__","__No Hay, Test Pellet Diet M__","__No Hay, Test Pellet Diet M__","__No Hay, Test Pellet Diet M__","__No Hay, Test Pellet Diet M__",-99
Unassigned;Other,0.101705882353,0.0713529411765,0.0818235294118,0.0614705882353,0.115117647059,0.0888823529412,0.110294117647,0.920823529412,0.127647058824,0.157882352941,0.208882352941,0.163411764706,0.0861764705882,0.108,0.110823529412,0.184176470588,0.0793529411765,0.0945294117647,0.107117647059,0.106058823529,0.110529411765,0.137470588235,0.694235294118,0.226647058824,0.399411764706,0.0802352941176,0.0592941176471,0.0725882352941,0.0828235294118,29
k__Bacteria;Other,0.000117647058824,0.0,0.0,0.0,5.88235294118e-05,0.000117647058824,0.000117647058824,0.0,0.0,0.000117647058824,0.000117647058824,0.0,0.000470588235294,0.000176470588235,0.0,0.000529411764706,0.0,0.0,0.000176470588235,0.0,5.88235294118e-05,5.88235294118e-05,0.0,0.000176470588235,0.000235294117647,0.0,5.88235294118e-05,5.88235294118e-05,0.0,16
k__Bacteria;p__Actinobacteria,0.00782352941176,0.000117647058824,0.000764705882353,0.00264705882353,0.000588235294118,0.000529411764706,0.00282352941176,0.000235294117647,0.00176470588235,0.00311764705882,0.00288235294118,0.0124117647059,0.005,0.00252941176471,0.00217647058824,0.00576470588235,0.00141176470588,0.00170588235294,0.00164705882353,0.00211764705882,0.00152941176471,0.00205882352941,0.00611764705882,0.0612941176471,0.00170588235294,0.000823529411765,0.00841176470588,0.003,0.000294117647059,29
k__Bacteria;p__Bacteroidetes,0.317294117647,0.181882352941,0.145823529412,0.137823529412,0.355,0.347764705882,0.163882352941,0.00982352941176,0.275058823529,0.261647058824,0.341705882353,0.265176470588,0.384529411765,0.361705882353,0.455705882353,0.134647058824,0.473823529412,0.364294117647,0.398470588235,0.269117647059,0.339,0.195294117647,0.0535882352941,0.278352941176,0.166941176471,0.370823529412,0.206588235294,0.262529411765,0.310764705882,29
k__Bacteria;p__Cyanobacteria,0.00182352941176,0.00164705882353,0.00170588235294,0.000176470588235,0.000352941176471,0.000529411764706,0.000941176470588,0.000117647058824,0.00282352941176,0.000470588235294,0.000176470588235,0.00223529411765,0.0,0.00123529411765,0.000235294117647,0.000941176470588,0.000411764705882,0.000470588235294,0.000470588235294,0.000588235294118,5.88235294118e-05,0.000647058823529,0.000529411764706,0.000176470588235,0.000176470588235,0.000411764705882,0.000411764705882,0.000235294117647,0.000882352941176,28
k__Bacteria;p__Deferribacteres,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.88235294118e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
k__Bacteria;p__Firmicutes,0.516764705882,0.636176470588,0.681823529412,0.728823529412,0.475647058824,0.522470588235,0.686352941176,0.0619411764706,0.507411764706,0.539058823529,0.412294117647,0.489294117647,0.424176470588,0.489941176471,0.405882352941,0.583823529412,0.379117647059,0.368647058824,0.467529411765,0.588647058824,0.476058823529,0.603,0.233705882353,0.373411764706,0.376176470588,0.468588235294,0.675176470588,0.619352941176,0.545470588235,29
